date,fighter_1,fighter_2,bet_on,stake,odds,won,pnl,bankroll
2023-01-14,Punahele Soriano,Roman Kopylov,Punahele Soriano,50.0,1.7142857142857144,False,-50.0,950.0
2023-01-21,Josiane Nunes,Zarah Fairn,Josiane Nunes,47.5,1.1851851851851851,True,8.796296296296294,958.7962962962963
2023-01-21,Ismael Bonfim,Terrance McKinney,Terrance McKinney,47.94,1.9090909090909087,False,-47.94,910.8562962962963
2023-02-04,JunYong Park,Denis Tiuliulin,JunYong Park,45.54,1.5,True,22.77,933.6262962962962
2023-02-11,Josh Culibao,Melsik Baghdasaryan,Melsik Baghdasaryan,46.68,1.9090909090909087,False,-46.68,886.9462962962963
2023-02-18,William Knight,Marcin Prachnio,William Knight,44.35,1.7692307692307692,False,-44.35,842.5962962962963
2023-02-25,Augusto Sakai,Don'Tale Mayes,Augusto Sakai,42.13,1.7407407407407407,True,31.20740740740741,873.8037037037037
2023-02-25,Jordan Leavitt,Victor Martinez,Jordan Leavitt,43.69,1.9523809523809523,True,41.60952380952381,915.4132275132275
2023-03-04,Jon Jones,Ciryl Gane,Jon Jones,45.77,1.6451612903225803,True,29.5290322580645,944.942259771292
2023-03-04,Cody Garbrandt,Trevin Jones,Cody Garbrandt,47.25,1.606060606060606,True,28.636363636363633,973.5786234076556
2023-03-11,Victor Henry,Tony Gravely,Victor Henry,48.68,1.704225352112676,True,34.281690140845065,1007.8603135485007
2023-03-11,Carlston Harris,Jared Gooden,Carlston Harris,50.39,1.3333333333333333,True,16.796666666666663,1024.6569802151673
2023-03-18,Leon Edwards,Kamaru Usman,Kamaru Usman,51.23,1.4081632653061225,False,-51.23,973.4269802151673
2023-03-18,Lerone Murphy,Gabriel Santos,Lerone Murphy,48.67,1.5555555555555556,True,27.03888888888889,1000.4658691040562
2023-03-18,Chris Duncan,Omar Morales,Omar Morales,50.02,1.9433962264150944,False,-50.02,950.4458691040562
2023-03-18,Jennifer Maia,Casey O'Neill,Casey O'Neill,47.52,1.5434782608695652,False,-47.52,902.9258691040562
2023-03-25,Victor Altamirano,Vinicius Salvador,Vinicius Salvador,45.15,1.8928571428571428,False,-45.15,857.7758691040563
2023-04-15,Bill Algeo,TJ Brown,Bill Algeo,42.89,1.5,True,21.445,879.2208691040563
2023-04-15,Dustin Jacoby,Azamat Murzakanov,Dustin Jacoby,43.96,1.617283950617284,False,-43.96,835.2608691040563
2023-04-15,Brandon Royval,Matheus Nicolau,Matheus Nicolau,41.76,1.510204081632653,False,-41.76,793.5008691040563
